Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Parameters,FLOPs (one sample),Inference time (s),Inference time (ms/sample),Confusion errors,Training time (s),Epochs completed,Best epoch,Best validation accuracy,Batch size,Optimizer,Learning rate
cnn,0.9953333333333333,0.9954268893892928,0.9953333333333333,0.9953262042970407,12475422,561435478.0,3.418511899999885,0.28487599166665706,56,2133.7780204,75,45,0.859666645526886,32,RMSprop,0.001
transformer,0.8461666666666666,0.8668349086977278,0.8461666666666667,0.8338001623648756,192222,12975518.0,2.4519107999999505,0.20432589999999587,1846,2411.8300694,74,44,0.7896666526794434,32,RMSprop,0.0010000000474974513
transformer2,0.9288333333333333,0.9328414067237233,0.9288333333333333,0.9282094086071915,402014,127236004.0,7.547046300000147,0.6289205250000123,854,8340.309684700002,97,67,0.7773333191871643,16,Adam,0.0003000000142492354
transformer3,0.9696666666666667,0.970000161250065,0.9696666666666667,0.969657840913026,453950,188197470.0,10.13175290000072,0.8443127416667267,364,14920.7433993,144,114,0.8096666932106018,16,Adam,0.0003000000142492354
transformer4,0.9906666666666667,0.9907632526808775,0.9906666666666666,0.9906390319015144,464254,318724830.0,14.720003900000002,1.2266669916666668,112,14384.715581999999,124,94,0.8460000157356262,16,Adam,0.0003000000142492354
