Model,Accuracy (%),Macro precision (%),Macro recall (%),Macro F1 (%),Training time (h),Epochs completed,Parameters (count),FLOPs/sample (count),Inference latency (ms/sample),Confusion errors (samples),Best validation accuracy (%),Best epoch
Residual CNN,99.53333333333333,99.54268893892927,99.53333333333333,99.53262042970407,0.5927161167777778,75,12475422,561435478.0,0.28487599166665706,56,85.9666645526886,45
Transformer V1,84.61666666666666,86.68349086977278,84.61666666666667,83.38001623648756,0.6699527970555555,74,192222,12975518.0,0.20432589999999587,1846,78.96666526794434,44
Transformer V2,92.88333333333333,93.28414067237233,92.88333333333333,92.82094086071915,2.316752690194445,97,402014,127236004.0,0.6289205250000123,854,77.73333191871643,67
Transformer V3,96.96666666666667,97.00001612500651,96.96666666666667,96.9657840913026,4.1446509442499995,144,453950,188197470.0,0.8443127416667267,364,80.96666932106018,114
Transformer V4 (revised),99.06666666666666,99.07632526808776,99.06666666666666,99.06390319015144,3.995754328333333,124,464254,318724830.0,0.9895889250001346,112,84.60000157356262,94
