epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.10222221910953522,3.1044981479644775,0.001,0.0689999982714653,3.3315064907073975
1,0.27211111783981323,2.35955810546875,0.001,0.05066666752099991,4.004001140594482
2,0.3719629645347595,1.964409589767456,0.001,0.38866665959358215,1.9107615947723389
3,0.46248146891593933,1.6693181991577148,0.001,0.06800000369548798,5.117157936096191
4,0.5682222247123718,1.3762176036834717,0.001,0.18700000643730164,3.3607847690582275
5,0.6320000290870667,1.167385458946228,0.001,0.5883333086967468,1.242983102798462
6,0.6811110973358154,1.0085461139678955,0.001,0.5210000276565552,1.521637201309204
7,0.7242222428321838,0.8815761804580688,0.001,0.7179999947547913,0.9568476676940918
8,0.7509999871253967,0.7971466183662415,0.001,0.17166666686534882,4.449348449707031
9,0.788185179233551,0.6856386065483093,0.001,0.45399999618530273,1.9097718000411987
10,0.8200740814208984,0.5918334126472473,0.001,0.15933333337306976,3.6079697608947754
11,0.8496666550636292,0.5040555000305176,0.001,0.6790000200271606,1.1330859661102295
12,0.8738148212432861,0.420162171125412,0.001,0.5410000085830688,1.584086298942566
13,0.8939259052276611,0.35232624411582947,0.001,0.6019999980926514,1.508126139640808
14,0.9121111035346985,0.29394271969795227,0.001,0.5536666512489319,1.7427839040756226
15,0.9294815063476562,0.23817650973796844,0.001,0.7839999794960022,0.9021100401878357
16,0.9430370330810547,0.18869955837726593,0.001,0.7363333106040955,1.0966156721115112
17,0.9582962989807129,0.15097564458847046,0.001,0.5426666736602783,1.9740771055221558
18,0.9671111106872559,0.11899945884943008,0.001,0.5960000157356262,1.683020830154419
19,0.9742962718009949,0.09648095816373825,0.001,0.612666666507721,1.605065107345581
20,0.9805926084518433,0.07777280360460281,0.001,0.6786666512489319,1.3704829216003418
21,0.9834444522857666,0.06529008597135544,0.001,0.7336666584014893,1.3302488327026367
22,0.9864073991775513,0.0550287589430809,0.001,0.8349999785423279,0.8761497139930725
23,0.9878518581390381,0.0484880693256855,0.001,0.8309999704360962,0.8652733564376831
24,0.9891111254692078,0.043205928057432175,0.001,0.5929999947547913,1.9606308937072754
25,0.9907407164573669,0.03721721097826958,0.001,0.8383333086967468,0.9236664772033691
26,0.9915925860404968,0.032472822815179825,0.001,0.5989999771118164,1.990741491317749
27,0.9927407503128052,0.02983023412525654,0.001,0.8166666626930237,1.1860178709030151
28,0.9935555458068848,0.026177776977419853,0.001,0.565666675567627,2.3258485794067383
29,0.993148148059845,0.026023894548416138,0.001,0.8293333053588867,1.0045101642608643
30,0.9944815039634705,0.023472018539905548,0.001,0.8159999847412109,1.0902584791183472
31,0.9944074153900146,0.0205460824072361,0.001,0.6883333325386047,1.9368171691894531
32,0.9950740933418274,0.01846279203891754,0.001,0.6430000066757202,2.032426357269287
33,0.9951481223106384,0.01751067489385605,0.001,0.8136666417121887,1.1425307989120483
34,0.9998148083686829,0.0019330499926581979,0.00020000001,0.8416666388511658,1.0310108661651611
35,0.9999259114265442,0.0010227365419268608,0.00020000001,0.8403333425521851,1.0686516761779785
36,1.0,0.0006160441553220153,0.00020000001,0.8576666712760925,0.9937793612480164
37,0.9999259114265442,0.0006905448972247541,0.00020000001,0.8473333120346069,1.0515553951263428
38,1.0,0.00032859062775969505,0.00020000001,0.8569999933242798,1.0324108600616455
39,1.0,0.00025069285766221583,0.00020000001,0.8533333539962769,1.0382994413375854
40,1.0,0.00021807650045957416,0.00020000001,0.859000027179718,1.0490167140960693
41,0.9999259114265442,0.00024212397693190724,0.00020000001,0.8583333492279053,1.066916823387146
42,0.9999629855155945,0.0001701052678981796,0.00020000001,0.8543333411216736,1.1182242631912231
43,1.0,0.00011526216985657811,0.00020000001,0.843999981880188,1.1590594053268433
44,1.0,7.134730549296364e-05,4.0000003e-05,0.859666645526886,1.098439335823059
45,1.0,6.761807162547484e-05,4.0000003e-05,0.859666645526886,1.0920556783676147
46,1.0,6.41881488263607e-05,4.0000003e-05,0.8583333492279053,1.1106675863265991
47,1.0,5.86029163969215e-05,4.0000003e-05,0.8579999804496765,1.1008809804916382
48,1.0,6.02310938120354e-05,4.0000003e-05,0.8586666584014893,1.1101824045181274
49,1.0,5.43642854609061e-05,4.0000003e-05,0.859000027179718,1.1042742729187012
50,1.0,4.762717799167149e-05,4.0000003e-05,0.8579999804496765,1.1068189144134521
51,1.0,4.806496144738048e-05,4.0000003e-05,0.8569999933242798,1.0994459390640259
52,1.0,4.212749990983866e-05,4.0000003e-05,0.8553333282470703,1.1161913871765137
53,1.0,4.1747145587578416e-05,4.0000003e-05,0.8583333492279053,1.1101186275482178
54,0.9999629855155945,9.066855272976682e-05,8.000001e-06,0.859000027179718,1.1088401079177856
55,1.0,3.735602876986377e-05,8.000001e-06,0.8576666712760925,1.1085718870162964
56,1.0,3.488246875349432e-05,8.000001e-06,0.8579999804496765,1.107866644859314
57,1.0,3.780755650950596e-05,8.000001e-06,0.859000027179718,1.1089452505111694
58,1.0,3.651234510471113e-05,8.000001e-06,0.8566666841506958,1.1071958541870117
59,1.0,3.6648500099545345e-05,8.000001e-06,0.8586666584014893,1.109786868095398
60,1.0,3.8122321711853147e-05,8.000001e-06,0.8586666584014893,1.1086736917495728
61,1.0,3.878026836900972e-05,8.000001e-06,0.8583333492279053,1.1070101261138916
62,1.0,3.641923103714362e-05,8.000001e-06,0.8576666712760925,1.1118931770324707
63,1.0,3.872792512993328e-05,8.000001e-06,0.8576666712760925,1.1098138093948364
64,1.0,3.22478408634197e-05,1.6000001e-06,0.8579999804496765,1.1100305318832397
65,1.0,3.2256222766591236e-05,1.6000001e-06,0.8576666712760925,1.1090623140335083
66,1.0,3.297297007520683e-05,1.6000001e-06,0.8576666712760925,1.1098192930221558
67,1.0,3.1808489438844845e-05,1.6000001e-06,0.8576666712760925,1.1091164350509644
68,1.0,3.3611111575737596e-05,1.6000001e-06,0.8579999804496765,1.1097328662872314
69,1.0,3.4551052522147074e-05,1.6000001e-06,0.8576666712760925,1.1104360818862915
70,1.0,3.514918716973625e-05,1.6000001e-06,0.8573333621025085,1.110845923423767
71,1.0,3.29652066284325e-05,1.6000001e-06,0.8576666712760925,1.1102033853530884
72,1.0,3.265271880081855e-05,1.6000001e-06,0.8576666712760925,1.1096707582473755
73,1.0,3.258480501244776e-05,1.6000001e-06,0.8583333492279053,1.1112043857574463
74,1.0,3.778539758059196e-05,3.2000003e-07,0.8579999804496765,1.111080527305603
