device,precision,recall,f1-score,support
1,0.9729064039408867,0.9875,0.9801488833746899,400
2,0.9924812030075187,0.99,0.9912390488110137,400
3,0.9852216748768473,1.0,0.9925558312655086,400
4,1.0,0.9925,0.9962358845671266,400
5,1.0,0.9825,0.991172761664565,400
6,0.9753694581280788,0.99,0.9826302729528535,400
7,0.9732360097323601,1.0,0.9864364981504316,400
8,0.995,0.995,0.995,400
9,1.0,1.0,1.0,400
10,1.0,0.9825,0.991172761664565,400
11,0.9950248756218906,1.0,0.9975062344139651,400
12,1.0,1.0,1.0,400
13,0.9925187032418953,0.995,0.9937578027465668,400
14,0.9852216748768473,1.0,0.9925558312655086,400
15,0.9705882352941176,0.99,0.9801980198019802,400
16,0.9867021276595744,0.9275,0.9561855670103092,400
17,1.0,1.0,1.0,400
18,0.9850746268656716,0.99,0.9875311720698254,400
19,0.9925558312655087,1.0,0.9962640099626401,400
20,0.9949494949494949,0.985,0.9899497487437187,400
21,1.0,1.0,1.0,400
22,0.9731051344743277,0.995,0.9839307787391842,400
23,1.0,0.9925,0.9962358845671266,400
24,1.0,0.9725,0.9860583016476552,400
25,0.9975062344139651,1.0,0.9987515605493134,400
26,0.9779951100244498,1.0,0.9888751545117428,400
27,0.9873417721518988,0.975,0.9811320754716981,400
28,0.9900990099009901,1.0,0.9950248756218906,400
29,1.0,0.9775,0.988621997471555,400
30,1.0,1.0,1.0,400
