Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Parameters,FLOPs (one sample),Inference time (s),Inference time (ms/sample),Confusion errors
Residual-CNN,0.9953333333333333,0.9954268893892928,0.9953333333333333,0.9953262042970407,12475422,561435478.0,3.586529600000002,0.29887746666666687,56
Transformer-V1,0.8461666666666666,0.8668349086977278,0.8461666666666667,0.8338001623648756,192222,12975518.0,2.2767610999999945,0.18973009166666624,1846
Transformer-V2,0.9289166666666666,0.9329496770894159,0.9289166666666665,0.9283000796239532,402014,127236004.0,7.988756000000002,0.6657296666666669,853
Transformer-V3,0.9696666666666667,0.970000161250065,0.9696666666666667,0.969657840913026,453950,188197470.0,10.911087600000009,0.9092573000000008,364
Transformer-V4,0.9353333333333333,0.9367958365111231,0.9353333333333332,0.9350061908341114,456126,216124254.0,11.547752800000012,0.9623127333333344,776
