device,precision,recall,f1-score,support
1,0.9625668449197861,0.9,0.9302325581395349,400
2,0.9845758354755784,0.9575,0.97084917617237,400
3,0.8812785388127854,0.965,0.9212410501193317,400
4,0.9974937343358395,0.995,0.9962453066332916,400
5,0.9898477157360406,0.975,0.982367758186398,400
6,0.9287410926365796,0.9775,0.9524969549330086,400
7,0.9875311720698254,0.99,0.9887640449438203,400
8,0.9698492462311558,0.965,0.9674185463659147,400
9,0.9975,0.9975,0.9975,400
10,0.9923857868020305,0.9775,0.9848866498740554,400
11,0.9872122762148338,0.965,0.9759797724399494,400
12,0.9800498753117207,0.9825,0.9812734082397004,400
13,0.9238578680203046,0.91,0.9168765743073047,400
14,0.9950124688279302,0.9975,0.9962546816479401,400
15,0.9196891191709845,0.8875,0.9033078880407125,400
16,0.900990099009901,0.91,0.9054726368159204,400
17,1.0,1.0,1.0,400
18,0.9219143576826196,0.915,0.9184441656210791,400
19,0.9923857868020305,0.9775,0.9848866498740554,400
20,0.9673366834170855,0.9625,0.9649122807017544,400
21,0.9851851851851852,0.9975,0.991304347826087,400
22,0.972636815920398,0.9775,0.9750623441396509,400
23,0.9825,0.9825,0.9825,400
24,0.9925373134328358,0.9975,0.9950124688279303,400
25,0.9875311720698254,0.99,0.9887640449438203,400
26,0.963855421686747,1.0,0.9815950920245399,400
27,0.9702970297029703,0.98,0.9751243781094527,400
28,0.9876237623762376,0.9975,0.9925373134328358,400
29,0.9948186528497409,0.96,0.9770992366412213,400
30,0.9828009828009828,1.0,0.9913258983890954,400
