epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.033222220838069916,3.477623224258423,0.0003,0.03400000184774399,3.4425318241119385
1,0.03096296265721321,3.427335739135742,0.0003,0.03333333507180214,3.4188618659973145
2,0.033407408744096756,3.4150564670562744,0.0003,0.03333333507180214,3.4109082221984863
3,0.03525925800204277,3.409487247467041,0.0003,0.03233333304524422,3.409604549407959
4,0.06233333423733711,3.27352237701416,0.0003,0.08566666394472122,3.0974977016448975
5,0.14792592823505402,2.892228364944458,0.0003,0.21799999475479126,2.6389496326446533
6,0.2607037127017975,2.4933266639709473,0.0003,0.23399999737739563,2.49875545501709
7,0.3168148100376129,2.2735774517059326,0.0003,0.31566667556762695,2.2181804180145264
8,0.35281482338905334,2.1401267051696777,0.0003,0.39666667580604553,2.0354135036468506
9,0.39755555987358093,2.0090489387512207,0.0003,0.414000004529953,1.943657398223877
10,0.4252963066101074,1.9289426803588867,0.0003,0.4946666657924652,1.810666561126709
11,0.4561111032962799,1.8536388874053955,0.0003,0.4763333201408386,1.8005340099334717
12,0.48240742087364197,1.7718231678009033,0.0003,0.4896666705608368,1.7375984191894531
13,0.4928148090839386,1.7328600883483887,0.0003,0.4476666748523712,1.8322683572769165
14,0.5049629807472229,1.6982102394104004,0.0003,0.512333333492279,1.6680673360824585
15,0.5068888664245605,1.684814691543579,0.0003,0.5619999766349792,1.5661468505859375
16,0.5201851725578308,1.6508021354675293,0.0003,0.49966666102409363,1.721165418624878
17,0.5253333449363708,1.6331794261932373,0.0003,0.5046666860580444,1.6548329591751099
18,0.5375925898551941,1.5954340696334839,0.0003,0.5630000233650208,1.556646466255188
19,0.5437036752700806,1.5880529880523682,0.0003,0.5730000138282776,1.5211760997772217
20,0.5515555739402771,1.5580682754516602,0.0003,0.5663333535194397,1.5117360353469849
21,0.5614814758300781,1.5362234115600586,0.0003,0.5663333535194397,1.5177853107452393
22,0.5873703956604004,1.4629158973693848,0.0003,0.6230000257492065,1.4247236251831055
23,0.6154444217681885,1.4000678062438965,0.0003,0.6346666812896729,1.332997441291809
24,0.6427407264709473,1.340269923210144,0.0003,0.6299999952316284,1.3511691093444824
25,0.6558148264884949,1.2929980754852295,0.0003,0.6666666865348816,1.253718376159668
26,0.6705926060676575,1.2532000541687012,0.0003,0.6916666626930237,1.199582815170288
27,0.6761481761932373,1.2296215295791626,0.0003,0.7036666870117188,1.1442233324050903
28,0.6806296110153198,1.2157641649246216,0.0003,0.6943333148956299,1.1811306476593018
29,0.6916296482086182,1.1877694129943848,0.0003,0.6826666593551636,1.199878215789795
30,0.6960740685462952,1.1759870052337646,0.0003,0.6433333158493042,1.3263345956802368
31,0.7024074196815491,1.1487643718719482,0.0003,0.7173333168029785,1.1068862676620483
32,0.7009259462356567,1.1398863792419434,0.0003,0.734333336353302,1.0798405408859253
33,0.7049259543418884,1.1350226402282715,0.0003,0.7089999914169312,1.1082831621170044
34,0.7044073939323425,1.1295844316482544,0.0003,0.6976666450500488,1.1712242364883423
35,0.7094444632530212,1.114914894104004,0.0003,0.7386666536331177,1.0703461170196533
36,0.7130370140075684,1.1038818359375,0.0003,0.7076666951179504,1.1121063232421875
37,0.7165555357933044,1.0916094779968262,0.0003,0.7323333621025085,1.0552877187728882
38,0.7141851782798767,1.09401273727417,0.0003,0.7390000224113464,1.0359457731246948
39,0.7209259271621704,1.077366828918457,0.0003,0.6986666917800903,1.1580116748809814
40,0.7237777709960938,1.0677378177642822,0.0003,0.6610000133514404,1.27266526222229
41,0.7255555391311646,1.0658766031265259,0.0003,0.7393333315849304,1.0479403734207153
42,0.7270740866661072,1.055204153060913,0.0003,0.7386666536331177,1.0473233461380005
43,0.7307037115097046,1.0453460216522217,0.0003,0.6936666369438171,1.1769236326217651
44,0.7334814667701721,1.0410577058792114,0.0003,0.7303333282470703,1.0793708562850952
45,0.7309629917144775,1.0408817529678345,0.0003,0.7289999723434448,1.072058916091919
46,0.7342592477798462,1.0312989950180054,0.0003,0.7253333330154419,1.077820897102356
