epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.033888887614011765,3.477692127227783,0.0003,0.03400000184774399,3.4400811195373535
1,0.033407408744096756,3.407487154006958,0.0003,0.06499999761581421,3.2101497650146484
2,0.13274073600769043,2.9779350757598877,0.0003,0.20133332908153534,2.668243885040283
3,0.25466665625572205,2.5020177364349365,0.0003,0.28166666626930237,2.3437752723693848
4,0.3328518569469452,2.2036757469177246,0.0003,0.3370000123977661,2.085677146911621
5,0.3862592577934265,2.0182137489318848,0.0003,0.4346666634082794,1.877313494682312
6,0.42451852560043335,1.903211236000061,0.0003,0.48266667127609253,1.771299958229065
7,0.4574444591999054,1.8102314472198486,0.0003,0.49533334374427795,1.7035434246063232
8,0.4642592668533325,1.7701138257980347,0.0003,0.49000000953674316,1.721332311630249
9,0.4874814748764038,1.7124451398849487,0.0003,0.4776666760444641,1.712888240814209
10,0.4981110990047455,1.676180124282837,0.0003,0.5600000023841858,1.5543155670166016
11,0.5166666507720947,1.6338751316070557,0.0003,0.4633333384990692,1.7375977039337158
12,0.5442222356796265,1.5747827291488647,0.0003,0.5516666769981384,1.5585986375808716
13,0.5727407336235046,1.5073554515838623,0.0003,0.5413333177566528,1.5142184495925903
14,0.5899999737739563,1.4594752788543701,0.0003,0.6213333606719971,1.3798022270202637
15,0.6054444313049316,1.415441870689392,0.0003,0.5636666417121887,1.4580901861190796
16,0.6209999918937683,1.3819043636322021,0.0003,0.6016666889190674,1.4128124713897705
17,0.6187777519226074,1.3703521490097046,0.0003,0.6703333258628845,1.258434772491455
18,0.6370740532875061,1.3398348093032837,0.0003,0.656333327293396,1.2792888879776
19,0.6438518762588501,1.3142951726913452,0.0003,0.6806666851043701,1.227569580078125
20,0.6518518328666687,1.2932157516479492,0.0003,0.6460000276565552,1.2970995903015137
21,0.6653333306312561,1.2641098499298096,0.0003,0.6673333048820496,1.2632954120635986
22,0.6653333306312561,1.2579519748687744,0.0003,0.6499999761581421,1.2996430397033691
23,0.6747778058052063,1.2350095510482788,0.0003,0.671999990940094,1.213263750076294
24,0.6803703904151917,1.2191437482833862,0.0003,0.690666675567627,1.1797829866409302
25,0.6851851940155029,1.2047491073608398,0.0003,0.6710000038146973,1.2115195989608765
26,0.6847037076950073,1.1999045610427856,0.0003,0.6940000057220459,1.1738759279251099
27,0.6869999766349792,1.1917791366577148,0.0003,0.6823333501815796,1.181734561920166
28,0.69007408618927,1.1806560754776,0.0003,0.6456666588783264,1.3029917478561401
29,0.6960370540618896,1.164077639579773,0.0003,0.7133333086967468,1.1243407726287842
30,0.704370379447937,1.1434252262115479,0.0003,0.7123333215713501,1.1322141885757446
31,0.707703709602356,1.129264235496521,0.0003,0.7333333492279053,1.082375168800354
